iter	Passed	Remaining
181	309	1390
182	310	1385
183	311	1380
184	312	1374
185	312	1368
186	313	1363
187	314	1358
188	315	1353
189	316	1348
190	317	1342
191	317	1337
192	318	1332
193	319	1327
194	320	1322
195	321	1317
196	321	1312
197	322	1307
198	323	1302
199	324	1297
200	325	1292
201	326	1288
202	326	1283
203	327	1278
204	328	1274
205	329	1270
206	330	1265
207	331	1261
208	332	1257
209	333	1252
210	333	1248
211	334	1244
212	335	1240
213	336	1236
214	337	1232
215	338	1228
216	339	1224
217	340	1220
218	341	1216
219	341	1212
220	342	1208
221	343	1204
222	344	1200
223	345	1196
224	346	1192
225	346	1188
226	347	1184
227	348	1180
228	349	1176
229	350	1173
230	351	1169
231	352	1165
232	352	1161
233	353	1157
234	354	1153
235	355	1150
236	356	1146
237	357	1143
238	357	1139
239	358	1136
240	359	1132
241	360	1129
242	361	1125
243	362	1121
244	362	1118
245	363	1115
246	364	1111
247	365	1108
248	366	1105
249	367	1102
250	368	1099
251	369	1096
252	370	1093
253	371	1089
254	371	1086
255	372	1083
256	373	1080
257	374	1076
258	375	1073
259	376	1070
260	376	1067
261	377	1063
262	378	1060
263	379	1057
264	379	1053
265	380	1050
266	381	1046
267	382	1043
268	382	1040
269	383	1037
270	384	1034
271	385	1030
272	386	1028
273	386	1025
274	387	1022
275	388	1019
276	389	1017
277	390	1014
278	391	1011
279	392	1008
280	392	1005
281	393	1002
282	394	999
283	395	996
284	396	993
285	396	990
286	397	987
287	398	985
288	399	982
289	399	979
290	400	976
291	401	973
292	402	971
293	403	968
294	404	965
295	404	963
296	405	960
297	406	957
298	407	955
299	408	952
300	409	950
301	410	948
302	410	945
303	411	943
304	413	941
305	413	938
306	414	936
307	415	933
308	416	931
309	417	928
310	417	925
311	418	923
312	419	920
313	420	918
314	421	915
315	422	913
316	422	911
317	423	908
318	424	906
319	425	904
320	426	901
321	427	899
322	427	896
323	428	894
324	429	891
325	430	889
326	431	887
327	431	884
328	432	882
329	433	880
330	434	877
331	435	875
332	436	873
333	436	871
334	437	869
335	438	867
336	439	864
337	440	862
338	440	859
339	441	857
340	442	855
341	443	852
342	443	850
343	444	848
344	445	846
345	446	844
346	447	841
347	448	839
348	448	837
349	449	835
350	450	832
351	451	830
352	452	828
353	452	826
354	453	823
355	454	821
356	455	819
357	455	817
358	456	815
359	457	813
360	458	811
361	459	809
362	460	807
363	461	805
364	462	803
365	462	801
366	463	799
367	464	797
368	465	795
369	466	793
370	467	791
371	467	789
372	468	787
373	469	786
374	470	784
375	471	781
376	471	779
377	472	777
378	473	775
379	474	773
380	475	772
381	476	770
382	476	768
383	477	766
384	478	764
385	479	762
386	480	760
387	481	758
388	481	756
389	482	754
390	483	752
391	484	751
392	484	749
393	485	747
394	486	745
395	487	743
396	488	741
397	489	739
398	489	738
399	490	736
400	491	734
401	492	732
402	493	730
403	494	729
404	495	727
405	496	726
406	497	724
407	497	722
408	498	720
409	499	719
410	500	717
411	501	715
412	502	713
413	502	711
414	503	709
415	504	708
416	505	706
417	505	704
418	506	702
419	507	700
420	508	699
421	509	697
422	509	695
423	510	693
424	511	691
425	512	690
426	512	688
427	513	686
428	514	684
429	515	683
430	516	681
431	516	679
432	517	677
433	518	676
434	519	674
435	520	672
436	520	671
437	521	669
438	522	667
439	523	666
440	524	664
441	525	662
442	525	661
443	526	659
444	527	657
445	528	656
446	529	654
447	529	652
448	530	651
449	531	649
450	532	647
451	532	646
452	533	644
453	534	643
454	535	641
455	536	640
456	537	638
457	538	636
458	538	635
459	539	633
460	540	631
461	541	630
462	542	628
463	542	627
464	543	625
465	544	623
466	545	622
467	546	620
468	546	619
469	547	617
470	548	616
471	549	614
472	550	613
473	551	611
474	551	609
475	552	608
476	553	606
477	554	605
478	555	603
479	555	602
480	556	600
481	557	598
482	558	597
483	558	595
484	559	594
485	560	592
486	561	591
487	562	589
488	562	588
489	563	586
490	564	585
491	565	583
492	566	582
493	567	581
494	568	579
495	568	578
496	569	576
497	570	575
498	571	573
499	572	572
500	573	570
501	573	569
502	574	567
503	575	566
504	576	564
505	576	563
506	577	561
507	578	560
508	579	558
509	580	557
510	581	556
511	581	554
512	582	553
513	583	551
514	584	550
515	585	548
516	586	547
517	586	546
518	587	544
519	588	543
520	589	541
521	590	540
522	590	538
523	591	537
524	592	535
525	593	534
526	593	533
527	594	531
528	595	530
529	596	528
530	596	527
531	597	525
532	598	524
533	599	523
534	600	521
535	600	520
536	601	518
537	602	517
538	603	516
539	604	514
540	604	513
541	605	511
542	606	510
543	607	508
544	607	507
545	608	506
546	609	504
547	610	503
548	611	502
549	612	500
550	613	499
551	613	498
552	614	496
553	615	495
554	616	494
555	617	492
556	618	491
557	619	490
558	619	489
559	620	487
560	621	486
561	622	484
562	622	483
563	623	482
564	624	480
565	625	479
566	626	478
567	627	477
568	628	476
569	629	474
570	630	473
571	631	472
572	632	471
573	633	469
574	634	468
575	634	467
576	635	466
577	636	464
578	638	463
579	638	462
580	639	461
581	641	460
582	642	459
583	643	458
584	644	457
585	645	455
586	645	454
587	646	453
588	647	452
589	648	450
590	649	449
591	650	448
592	651	447
593	652	446
594	653	444
595	654	443
596	655	442
597	656	441
598	657	440
599	658	439
600	659	437
601	660	436
602	661	435
603	662	434
604	663	432
605	664	431
606	664	430
607	665	429
608	666	428
609	667	426
610	668	425
611	669	424
612	670	423
613	671	422
614	672	420
615	673	419
616	674	418
617	675	417
618	676	416
619	677	415
620	678	413
621	679	412
622	680	411
623	681	410
624	682	409
625	683	408
626	684	407
627	685	406
628	686	404
629	687	403
630	688	402
631	689	401
632	690	400
633	690	398
634	691	397
635	692	396
636	693	395
637	694	394
638	695	393
639	696	391
640	697	390
641	698	389
642	699	388
643	700	387
644	701	386
645	702	384
646	703	383
647	704	382
648	705	381
649	706	380
650	707	379
651	707	377
652	708	376
653	709	375
654	710	374
655	711	373
656	712	371
657	713	370
658	714	369
659	714	368
660	715	367
661	716	366
662	717	364
663	718	363
664	719	362
665	720	361
666	721	360
667	722	358
668	722	357
669	723	356
670	724	355
671	725	354
672	726	353
673	727	351
674	728	350
675	729	349
676	730	348
677	731	347
678	731	346
679	732	344
680	733	343
681	734	342
682	735	341
683	736	340
684	737	339
685	738	338
686	739	336
687	740	335
688	741	334
689	742	333
690	743	332
691	744	331
692	745	330
693	746	328
694	747	327
695	748	326
696	749	325
697	749	324
698	750	323
699	751	322
700	752	320
701	753	319
702	754	318
703	755	317
704	755	316
705	756	315
706	757	314
707	758	312
708	759	311
709	760	310
710	761	309
711	762	308
712	763	307
713	764	306
714	765	305
715	766	303
716	767	302
717	768	301
718	769	300
719	770	299
720	771	298
721	772	297
722	772	296
723	773	294
724	774	293
725	775	292
726	776	291
727	777	290
728	778	289
729	779	288
730	780	287
731	781	286
732	782	284
733	782	283
734	783	282
735	784	281
736	785	280
737	786	279
738	787	277
739	787	276
740	788	275
741	789	274
742	790	273
743	791	272
744	792	271
745	793	270
746	794	269
747	795	267
748	796	266
749	797	265
750	798	264
751	799	263
752	800	262
753	801	261
754	802	260
755	803	259
756	804	258
757	805	257
758	806	256
759	807	255
760	808	253
761	809	252
762	810	251
763	811	250
764	812	249
765	813	248
766	814	247
767	815	246
768	816	245
769	817	244
770	818	242
771	818	241
772	819	240
773	820	239
774	821	238
775	822	237
776	823	236
777	824	235
778	825	234
779	826	233
780	827	232
781	828	230
782	829	229
783	830	228
784	831	227
785	832	226
786	833	225
787	834	224
788	835	223
789	836	222
790	836	221
791	837	220
792	838	218
793	839	217
794	840	216
795	841	215
796	842	214
797	843	213
798	844	212
799	845	211
800	846	210
801	846	209
802	847	208
803	848	206
804	849	205
805	850	204
806	851	203
807	852	202
808	853	201
809	854	200
810	855	199
811	856	198
812	857	197
813	857	196
814	858	194
815	859	193
816	860	192
817	861	191
818	862	190
819	863	189
820	864	188
821	865	187
822	866	186
823	867	185
824	868	184
825	869	183
826	870	182
827	871	181
828	872	180
829	874	179
830	874	177
831	875	176
832	876	175
833	877	174
834	878	173
835	879	172
836	881	171
837	881	170
838	883	169
839	884	168
840	884	167
841	885	166
842	886	165
843	887	164
844	888	163
845	890	162
846	891	161
847	892	159
848	893	158
849	894	157
850	895	156
851	896	155
852	897	154
853	898	153
854	899	152
855	900	151
856	901	150
857	902	149
858	903	148
859	904	147
860	905	146
861	906	145
862	907	144
863	908	143
864	909	141
865	910	140
866	911	139
867	912	138
868	913	137
869	913	136
870	914	135
871	915	134
872	916	133
873	917	132
874	918	131
875	919	130
876	920	129
877	921	128
878	922	126
879	923	125
880	924	124
881	924	123
882	925	122
883	926	121
884	927	120
885	928	119
886	929	118
887	930	117
888	931	116
889	932	115
890	933	114
891	934	113
892	934	112
893	936	110
894	936	109
895	937	108
896	938	107
897	939	106
898	940	105
899	941	104
900	942	103
901	943	102
902	944	101
903	945	100
904	945	99
905	946	98
906	947	97
907	948	96
908	949	95
909	950	93
910	951	92
911	952	91
912	952	90
913	953	89
914	954	88
915	955	87
916	956	86
917	957	85
918	958	84
919	959	83
920	960	82
921	961	81
922	961	80
923	962	79
924	963	78
925	964	77
926	965	76
927	966	74
928	967	73
929	968	72
930	969	71
931	970	70
932	971	69
933	971	68
934	972	67
935	973	66
936	974	65
937	975	64
938	976	63
939	976	62
940	977	61
941	978	60
942	979	59
943	980	58
944	981	57
945	982	56
946	983	55
947	983	53
948	984	52
949	985	51
950	986	50
951	987	49
952	988	48
953	988	47
954	989	46
955	990	45
956	991	44
957	992	43
958	993	42
959	993	41
960	994	40
961	995	39
962	996	38
963	997	37
964	998	36
965	999	35
966	999	34
967	1000	33
968	1001	32
969	1002	31
970	1003	29
971	1004	28
972	1004	27
973	1005	26
974	1006	25
975	1007	24
976	1008	23
977	1009	22
978	1010	21
979	1010	20
980	1011	19
981	1012	18
982	1013	17
983	1014	16
984	1015	15
985	1015	14
986	1016	13
987	1017	12
988	1018	11
989	1019	10
990	1020	9
991	1020	8
992	1021	7
993	1022	6
994	1023	5
995	1024	4
996	1025	3
997	1026	2
998	1027	1
999	1028	0
